,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
21,"ලෙස්බියන්? නැත. මම ඇගේ ලාච්චුවක තිබී ජැරඩ් ලෙටෝගේ පින්තූරයක් සොයා ගත්තෙමි, 
එබැවින් ඇය සමලිංගික ප්‍රවණතා ඇති නොකරන බව මට හොඳටම විශ්වාසයි.",ඉතින් ඒ වගේ කෙනෙක්ද ඇය කැමති? ලස්සන අය?
22,ඉතින් ඒ වගේ කෙනෙක්ද ඇය කැමති? ලස්සන අය?,කව්ද දන්නේ? මම ඇය කියනු අසා ඇත්තේ දුම්පානය කරන පිරිමි ළමයෙකු සමඟ පෙම් සබඳතාවක් පැවැත්වීමට පෙර ඇය ගිල්වනු ඇති බවයි.
23,ආයුබෝවන්.,"අද රාත්‍රියේ දේවල් සාර්ථක වූ බව පෙනේ, හහ්?"
24,ඔබ නිර්මලකම දන්නවාද?,අපි කලා උපදේශකයෙකු බෙදාහදා ගන්නා බව මම විශ්වාස කරමි
25,අද රෑ විනෝද වෙන්නද?,ටොන්
26,"මම ඔබව සාදයේදී නැවත සෙව්වෙමි, නමුත් ඔබ සැමවිටම ""අල්ලාගෙන"" සිටින බවක් පෙනෙන්නට තිබුණි.",මම හිටියේ?
27,මම හිටියේ?,ඔයාට කවදාවත් මාත් එක්ක එළියට යන්න ඕන වුණේ නැහැ නේද?
28,"හොඳයි, නැහැ ...",එතකොට ඔයාට කියන්න තිබ්බේ එච්චරයි.
29,එතකොට ඔයාට කියන්න තිබ්බේ එච්චරයි.,ඒත්
30,ඒත්,ඔයා හැමදාම මේ ආත්මාර්ථකාමීද?
31,"එවිට Guillermo පවසන්නේ, ""ඔබ සැහැල්ලුවෙන් ගියහොත්, ඔබ 90210 හි අතිරේකයක් ලෙස පෙනෙනු ඇත.""",නැත...
32,ඔබ මේ ජරාවට සවන් දෙනවාද?,මොන මගුලක්ද?
33,මොන මගුලක්ද?,මට. මෙම නිමක් නැති ... ලා දුඹුරු බබල්. මටම එපා වෙලා වගේ.
34,මට. මෙම නිමක් නැති ... ලා දුඹුරු බබල්. මටම එපා වෙලා වගේ.,දෙවියන්ට ස්තූතිවන්න! මට ඔබේ කම්මැලිකම ගැන තවත් එක් කතාවක් ඇසීමට සිදුවුවහොත් ...
35,මම හිතුවා ඔයා අන්තිමට හොඳ දේවල් වලට එයි කියලා.,මොන හොඳ දේවල්ද?
36,මොන හොඳ දේවල්ද?,සැබෑ ඔබ.
37,සැබෑ ඔබ.,පැස්ටල් ඇඳීමට මගේ බිය වැනිද?
38,"මම විහිළු කරන්නේ. සමහර විට ඔබ මෙම ""පුද්ගලයා"" බවට පත්වන්නේ කෙසේදැයි ඔබ දන්නවාද? සහ ඔබ ඉවත් වන්නේ කෙසේදැයි නොදන්නේද?",නැත
39,නැත,හරි -- ඔබ බොරු කීමට ඉගෙන ගත යුතුය.
40,වොව්,අපි යමු.
41,ඇය හොඳින්ද?,මම එසේ බලාපොරොත්තු වෙනවා.
42,ඔවුන් කරන්නේ!,ඔවුන් එසේ නොවේ!
43,ඔබ ඔබේ කොණ්ඩය වෙනස් කළාද?,නැත.
44,නැත.,ඔබට ඒ ගැන සිතා බැලීමට අවශ්‍ය විය හැකිය
45,ඔහු කොහෙද ගියේ? ඔහු මෙහි සිටියා පමණි.,WHO?
46,WHO?,ජෝයි.
47,මහා,"කැමරන්, මට බීමක් ලබා දීමට ඔබ කැමතිද?"
48,"අපට එකම චර්ම රෝග වෛද්‍යවරයා සිටින බව දැනගත් විට ඔහු ප්‍රායෝගිකව යෝජනා කළේය. මම අදහස් කළේ. ආචාර්ය බොන්චොව්ස්කි සියල්ලන්ටම විශිෂ්ටයි, නමුත් ඔහු පක්ෂ සංවාදයට හරියටම අදාළ නොවේ.",ඔහු තෙල් හෝ වියළිද?
49,ඔහු තෙල් හෝ වියළිද?,සංයෝජනය. මම දන්නේ නැහැ -- මම හිතුවා එයා වෙනස් වෙයි කියලා. තවත් මහත්මයෙක්...
50,"බියන්කා, මම හිතන්නේ ජෝයි ඩෝර්සි සමඟ පෙම් සබඳතාවක් පැවැත්වීමේ විශේෂ අවස්ථාවලට දොර ඇරීම සහ කබාය ඇල්ලීම ඇතුළත් වේ යැයි මම නොසිතමි.","සමහර වෙලාවට මට හිතෙනවා අපි එළියට යන්න ඕන කොල්ලෝ ඇත්තටම අපි එක්ක එළියට යන්න කැමති අයද කියලා, ඔයා දන්නවද?"
51,"සමහර වෙලාවට මට හිතෙනවා අපි එළියට යන්න ඕන කොල්ලෝ ඇත්තටම අපි එක්ක එළියට යන්න කැමති අයද කියලා, ඔයා දන්නවද?",මම දන්නේ එකම දෙයයි -- ජෝයි වගේ කොල්ලෙක් එක්ක යන්න මම මගේ පුද්ගලික මාර්ගය අත්හරිනවා.
52,මට විනාඩි විස්සකින් ගෙදර එන්න වෙනවා.,මට දෙකක් වෙනකම් ගෙදර ඉන්න ඕන නෑ.
53,ඔබ සිතන්නේ ඔබ ප්‍රොම් එකේ එකම දෙවන වසරේ සිසුවා කියාද?,මම කලා.
54,ඒක වැඩියි,මිල අධිකද?
55,"හරියටම ඉතින්, ඔබ සෙනසුරාදා Bogey Lowenbrau ගේ දෙයට යනවාද?",බලාපොරොත්තු වෙනවා.
56,"ඉතින් ඔව්, මට Sears නාමාවලියේ දෙයක් තියෙනවා -- සහ ටියුබ් මේස් ගිග් ""එය විශාල වනු ඇත. ඉන්පසු මම ලබන සතියේ හැරී රැජිනගේ දැන්වීමක් සඳහා සූදානම් වෙමි.",හැරී රැජින?
57,හැරී රැජින?,"එය සමලිංගික යාත්‍රා මාර්ගයකි, නමුත් මම නිල ඇඳුමක් සහ දේවල් ඇඳ සිටිමි."
58,පිළිවෙලට...,මගේ නියෝජිතයා කියනවා ලබන අවුරුද්දේ ප්‍රාඩා මිනිහා වෙන්න මට හොඳ අවස්ථාවක් තියෙනවා කියලා.
59,"හේයි, මිහිරි කම්මුල්.","හායි, ජෝයි."
60,"හායි, ජෝයි.",එය ජිම් පන්තියක් ලෙස සලකන විට ඔබ දැඩි ලෙස අවධානය යොමු කරයි.
61,"අහන්න, මට ඔබ සමඟ ප්‍රොම් ගැන කතා කිරීමට අවශ්‍යයි.",ඔබ ගනුදෙනුව දන්නවා. කැට් නොගියොත් මට යන්න බෑ...
62,ඔයා කොහෙද ගිහින් තියෙන්නේ?,කොහෙවත් නෑ... හායි අප්පච්චි.
63,"ඔබ මගේ මාර්ගයෙන් ඉවත් නොවන්නේ නම්, ඔබෙන් මඩ ගැසීමට මට හැකියාව ඇත.",අඩුම තරමේ බ්‍රා එකක් අඳින්න පටන් ගන්න පුළුවන්ද?
64,අනේ දෙයියනේ මේ කියන්නේ ඔයා සාමාන්‍ය තත්වයට පත් වෙනවාද?,ඒ කියන්නේ Gigglepuss Club Skunk එකේ සෙල්ලම් කරනවා අපි යනවා.
65,ඒ කියන්නේ Gigglepuss Club Skunk එකේ සෙල්ලම් කරනවා අපි යනවා.,"ඔහ්, මම හිතුවා ඔයාට දිනයක් තියෙනවා කියලා මම දන්නේ නැහැ ඇයි මම අහන්න කරදර කරන්නේ කියලා, නමුත් ඔයා සෙනසුරාදා රෑ Bogey Lowenstein ගේ පාටියට යනවාද?"
66,"ඔහ්, මම හිතුවා ඔයාට දිනයක් තියෙනවා කියලා මම දන්නේ නැහැ ඇයි මම අහන්න කරදර කරන්නේ කියලා, නමුත් ඔයා සෙනසුරාදා රෑ Bogey Lowenstein ගේ පාටියට යනවාද?",ඔයා සිතන්නේ කුමක් ද?
67,ඔයා සිතන්නේ කුමක් ද?,මම හිතන්නේ ඔබ පිස්සෙක්. මම හිතන්නේ ඔයා මට වධ දෙන්න මේක කරනවා කියලා. ඒ වගේම මම හිතන්නේ ඔයා හුරතල් කරනවා.
68,ඔයා මගේ ජීවිතය විනාශ කරනවා' ඔයා සාමාන්‍ය වෙන්නේ නැති නිසා මට සාමාන්‍ය වෙන්න බැහැ.,සාමාන්‍ය කුමක්ද?
69,සාමාන්‍ය කුමක්ද?,"Bogey Lowenstein ගේ සාදය සාමාන්‍ය දෙයක්, නමුත් එය දැන ගැනීමට ප්‍රොසාක් අවශ්‍ය බැල්ලියන්ට සවන් දීමෙන් ඔබ කාර්ය බහුලයි."
70,ඔබ සම්පූර්ණයෙන්ම අසරණ වූ බව ඔබට එක රැයකට අමතක කළ නොහැකිද?,අඩුම තරමින් මම දඩබ්බර ඌරෙක්වත් නොවේ.
71,ඒකෙන් අදහස් කරන්නේ මොකක්ද කියලා මම දැනගෙන ඉන්න ඕනේ වගේ.,ඒ ෂේක්ස්පියර් ය. සමහරවිට ඔබ ඔහු ගැන අසා තිබේද?
72,ඒ ෂේක්ස්පියර් ය. සමහරවිට ඔබ ඔහු ගැන අසා තිබේද?,"ඔව්, ඔහු ඔබේ විකාර මිතුරා මැන්ඩෙලාගේ පෙම්වතා ය. මම හිතන්නේ මට එළියට යන්න අවසර නැති නිසා, මම මැරුණ මිනිහෙක් ගැනත් ආසා කළ යුතුයි."
73,ඔබ සම්පූර්ණයෙන්ම අසමතුලිතයි.,අපිට දැන් යන්න පුළුවන්ද?
74,"බියන්කා, මට ඔයා එක්ක කතා කරන්න ඕන -- මට ඔයාට කියන්න ඕන --",ඇත්තටම මම හිතන්නේ මට දැන් ඔබෙන් කිසිම සමාජ උපදෙසක් අවශ්‍ය නැහැ.
75,"මට ඔයාව තේරෙන්නේ නැහැ. ඔබ මේ කිසිවකට ඔබ හොඳ වැඩියි කියා ක්‍රියා කරන අතර, ඔබ මෙහි පැමිණි විට ඔබ සම්පූර්ණයෙන්ම බලාපොරොත්තු සුන් වෙනවා.",ඔයාව සාදරයෙන් පිළිගන්නවා.
76,"සවන් දෙන්න, මම සුසී උසස් පාසල නොවන නිසා ඔබ නිවසේ වාඩි වීමට අකමැති බව මම දනිමි.",ඔබ සැලකිලිමත් වගේ.
77,ඔබ සැලකිලිමත් වගේ.,මම බලාගන්නවා. නමුත් මම දැඩි ලෙස විශ්වාස කරන්නේ වෙනත් කෙනෙකුගේ නොව ඔබේම හේතු නිසා යමක් කිරීමටයි.
78,මම බලාගන්නවා. නමුත් මම දැඩි ලෙස විශ්වාස කරන්නේ වෙනත් කෙනෙකුගේ නොව ඔබේම හේතු නිසා යමක් කිරීමටයි.,"ඒ සැප මට තිබුණා නම් හොඳයි. ප්‍රොම් එකට ඉල්ලපු එකම දෙවන වසර ශිෂ්‍යයා මමයි, මට යන්න බැහැ, මොකද ඔයා ඒක නොකරන නිසා."
79,අපි එළියට ගියා කියලා ජෝයි කවදාවත් ඔයාට කිව්වේ නැහැ නේද?,කුමක් ද?
80,කුමක් ද?,9 දී. මාසයකට
81,9 දී. මාසයකට,මන්ද?
82,මන්ද?,ඔහු සම්පූර්ණ ළදරුවෙකු මෙන් විය
83,ඔහු සම්පූර්ණ ළදරුවෙකු මෙන් විය,නමුත් ඔබ ජෝයිට වෛර කරනවා
84,නමුත් ඔබ ජෝයිට වෛර කරනවා,දැන් මම කරනවා. ඒ කාලේ තිබුණේ වෙනම කතාවක්.
85,දැන් මම කරනවා. ඒ කාලේ තිබුණේ වෙනම කතාවක්.,ලෙස...
86,හැමෝම ඒක කරනවා කිව්වා. ඉතින් මම ඒක කළා.,ඔබ කළේ කුමක්ද?
87,ඔබ කළේ කුමක්ද?,එක් වරක් පමණි. ඊට පස්සේ මම එයාට කිව්වා මට තවත් ඕන නෑ කියලා. මම සූදානම් නැහැ. ඔහු කෝප විය. ඊට පස්සේ එයා මගෙන් වෙන් වුණා.
88,ඒත්,"ඊට පස්සේ, ""අනිත් හැමෝම"" ඒක කරන නිසා මම කවදාවත් කිසිම දෙයක් කරන්නේ නැහැ කියලා මම දිවුරනවා. සහ මම එතැන් සිට නැහැ. Bogey ගේ සාදය සහ මගේ සිත් ඇදගන්නාසුළු ආමාශ ආන්ත්රයික සංදර්ශකය හැර --"
89,"ඊට පස්සේ, ""අනිත් හැමෝම"" ඒක කරන නිසා මම කවදාවත් කිසිම දෙයක් කරන්නේ නැහැ කියලා මම දිවුරනවා. සහ මම එතැන් සිට නැහැ. Bogey ගේ සාදය සහ මගේ සිත් ඇදගන්නාසුළු ආමාශ ආන්ත්රයික සංදර්ශකය හැර --",ඇයි මට කිව්වේ නැත්තේ?
90,ඇයි මට කිව්වේ නැත්තේ?,මට ඕන උනේ ඔයාට එයා ගැන හිත හදාගන්න දෙන්න.
91,මට ඕන උනේ ඔයාට එයා ගැන හිත හදාගන්න දෙන්න.,"නැහැ. ඔබ කළේ නැහැ! ඔයා ඇත්තටම හිතුවා නම් මට මගේම තීරණ ගන්න පුළුවන් කියලා, තාත්තා මාව ප්‍රාණ ඇපයට ගන්න උදව් කරනවා වෙනුවට ඔයා මට එයා එක්ක එළියට යන්න දෙනවා."
92,ඒක නෙවෙයි,ඔබේ වැරදි නැවත කිරීමට තරම් මම මෝඩ නැත.
93,ඔබේ වැරදි නැවත කිරීමට තරම් මම මෝඩ නැත.,මම හිතන්නේ මම ඔයාව ආරක්ෂා කරනවා කියලා.
94,මම හිතන්නේ මම ඔයාව ආරක්ෂා කරනවා කියලා.,"දෙවියනේ, ඔබ ඔහු හා සමානයි! මාව අඳුරේ හිරකරන් ඉන්න, ඒ නිසා මට කිසිම දෙයක් අත්විඳිය නොහැක"
95,"දෙවියනේ, ඔබ ඔහු හා සමානයි! මාව අඳුරේ හිරකරන් ඉන්න, ඒ නිසා මට කිසිම දෙයක් අත්විඳිය නොහැක",හැම අත්දැකීමක්ම හොඳ නැහැ බියන්කා. ඔබට සැමවිටම ඔබට අවශ්‍ය පුද්ගලයින් විශ්වාස කළ නොහැක.
96,හැම අත්දැකීමක්ම හොඳ නැහැ බියන්කා. ඔබට සැමවිටම ඔබට අවශ්‍ය පුද්ගලයින් විශ්වාස කළ නොහැක.,මම හිතන්නේ මම කවදාවත් දන්නේ නැහැ නේද?
97,"ඔයා ඊයේ රෑ ලස්සනට හිටියා, ඔයා දන්නවා.",ඔබත් එහෙමයි
98,යන්න දෙන්න!,ඔයා මාව සෙට් කලා.
99,ඔයා මාව සෙට් කලා.,මට ඕන උනේ...
100,මට ඕන උනේ...,කුමක් ද? මට සම්පූර්ණයෙන්ම හානි කිරීමට? මාව සදහටම චිකිත්සාවට යවන්නද? කුමක් ද?
101,කුමක් ද? මට සම්පූර්ණයෙන්ම හානි කිරීමට? මාව සදහටම චිකිත්සාවට යවන්නද? කුමක් ද?,නැත! මට අවශ්‍ය වුණා විතරයි
102,ඒ ගැහැණිය සම්පූර්ණ පලතුරක් ද නැතිනම් මම පමණක් ද?,ඒ ඔබ පමණයි.
103,පැට්රික් -- ඒක තමයි- ඒ.,පර්ම්?
104,දැන් කලබල වෙන්න එපා. අප්පච්චි ඒත් මේ කොල්ලා ඉන්නවා... මම හිතන්නේ එයා අහන්න ඇති...,නැත! ඔබේ සහෝදරිය පෙම් සබඳතාවක් ආරම්භ කරන තුරු ඔබ පෙම් සබඳතාවක් පවත්වන්නේ නැත. සාකච්ඡාවේ අවසානය.
105,නැත! ඔබේ සහෝදරිය පෙම් සබඳතාවක් ආරම්භ කරන තුරු ඔබ පෙම් සබඳතාවක් පවත්වන්නේ නැත. සාකච්ඡාවේ අවසානය.,ඇය කවදාවත් පෙම් සබඳතාවක් ආරම්භ නොකරන්නේ නම්?
106,ඇය කවදාවත් පෙම් සබඳතාවක් ආරම්භ නොකරන්නේ නම්?,එවිට ඔබත් එසේ නොවනු ඇත. ඒ වගේම මම රෑට නිදාගන්නම්.
107,එවිට ඔබත් එසේ නොවනු ඇත. ඒ වගේම මම රෑට නිදාගන්නම්.,"නමුත් එය සාධාරණ නැත -- ඇය විකෘතියක්, තාත්තා!"
108,නමුත් ඇය පෙම්වතුන් වීමට කැමති නැත.,හරියටම මගේ අදහස
109,"තාත්තේ, මම --",සහ ඔබ කොහෙද යන්නේ?
110,සහ ඔබ කොහෙද යන්නේ?,"ඔබ දැනගත යුතුම නම්, අපි කුඩා අධ්‍යයන මිතුරන් කණ්ඩායමක් වෙත යාමට උත්සාහ කළෙමු."
111,"ඔබ දැනගත යුතුම නම්, අපි කුඩා අධ්‍යයන මිතුරන් කණ්ඩායමක් වෙත යාමට උත්සාහ කළෙමු.",නොඑසේ නම් ඔර්ජි ලෙස හඳුන්වන්නේද?
112,නොඑසේ නම් ඔර්ජි ලෙස හඳුන්වන්නේද?,"ඒක සාදයක් විතරයි. තාත්තේ, ඒත් මම දැනගෙන හිටියා ඔයා මට යන්න තහනම් කියලා, මොකද ""ග්ලෝරියා ස්ටෙයින්"" එතනට යන්නේ නැති නිසා --"
113,"තාත්තේ, මිනිස්සු බලාපොරොත්තු වෙනවා මම එතනට එයි කියලා!","කැට් නොයන්නේ නම්, ඔබ යන්නේ නැත."
114,අනේ දෙවියනේ. පටන් ගන්නවා.,ඒක සාදයක් විතරයි. අප්පච්චි.
115,ඔබ යාමට පෙර බඩ පැළඳ ගන්න.,"තාත්තේ, නෑ!"
116,"තාත්තේ, නෑ!",විනාඩියකට පමණයි
117,මට පොරොන්දු වෙන්න අක්කා හිටියොත් මිසක් ඔයා කිසිම කොල්ලෙක් එක්ක කතා කරන්නේ නෑ කියලා.,මන්ද?
118,මන්ද?,මන්ද ඇය ඔවුන්ව බිය ගන්වනු ඇත.
119,"තාත්තේ, මට ඔබ සමඟ ප්‍රොම් ගැන සාකච්ඡා කිරීමට අවශ්‍යයි. හෙට රෑ තමයි...",ප්‍රොම් එක? කැට් දිනයක් තිබේද?
120,ප්‍රොම් එක? කැට් දිනයක් තිබේද?,"නැහැ, නමුත්"
121,"නැහැ, නමුත්",ඒ හොට් රොඩ් ජෝයි නේද? මම මගේ නීති නවනවාට ඔබ කැමති ඒ සඳහාද?
122,ඒ හොට් රොඩ් ජෝයි නේද? මම මගේ නීති නවනවාට ඔබ කැමති ඒ සඳහාද?,"ඔහු ""උණුසුම් සැරයටියක්"" නොවේ. ඒ මොනවා උනත්."
123,"ඔහු ""උණුසුම් සැරයටියක්"" නොවේ. ඒ මොනවා උනත්.",නංගි ගියොත් මිසක් ඔයා යන්නේ නෑ. කතාවේ අවසානය.
124,නංගි ගියොත් මිසක් ඔයා යන්නේ නෑ. කතාවේ අවසානය.,හොඳයි. මම මගේම නිවසේ සිරකරුවෙකු බව මට පෙනේ. මම දුවෙක් නෙවෙයි. මම අයිතිකරුවෙක්!
125,මට යමක් මග හැරී ඇත.,මට දිනයක් තියෙනවා තාත්තේ. අනික එයා අපි දන්න සමහර මිනිස්සු වගේ පීඩිත කපිතාන් කෙනෙක් නෙවෙයි.
126,"සැමවිටම සතුටක්, බෲසි.",ඔබ Gigglepuss රසිකයෙක් සඳහා සම්බන්ධ කර නොතිබුණි. ඔවුන් ඔබට යොවුන් වියට පෙර බඩ බොත්තම් වළල්ලක් නොවේද?
127,ඔබ Gigglepuss රසිකයෙක් සඳහා සම්බන්ධ කර නොතිබුණි. ඔවුන් ඔබට යොවුන් වියට පෙර බඩ බොත්තම් වළල්ලක් නොවේද?,රසිකයෙකුගේ රසිකයෙක්. බාලවයස්කාර ළමයි දෙන්නෙක් එනවා පේනවද?
128,රසිකයෙකුගේ රසිකයෙක්. බාලවයස්කාර ළමයි දෙන්නෙක් එනවා පේනවද?,කවදාවත් නැහැ
129,කවදාවත් නැහැ,"පාදුවා ගැහැණු ළමයින්. එක උස, විනීත ශරීරයක්. අනිත් එක තරමක් මිටි සහ අඩු ලිංගිකද?"
130,"පාදුවා ගැහැණු ළමයින්. එක උස, විනීත ශරීරයක්. අනිත් එක තරමක් මිටි සහ අඩු ලිංගිකද?",ඔවුන් හරහා යවා ඇත.
131,ඔයා අලුත් මිනිහා?,ඉතින් ඔවුන් මට කියනවා ...
132,ඉතින් ඔවුන් මට කියනවා ...,එන්න. මම ඔබට සංචාරය ලබා දිය යුතුයි.
133,ඉතින් -- ඔබ කුමන ඩැකෝටාවෙන්ද?,"උතුර, ඇත්ත වශයෙන්ම. ඔබට කොහොමද?"
134,"උතුර, ඇත්ත වශයෙන්ම. ඔබට කොහොමද?",මම විහිළුවක් කළේ. ඇත්තටම මිනිස්සු එහි ජීවත් වෙනවාද?
135,මම විහිළුවක් කළේ. ඇත්තටම මිනිස්සු එහි ජීවත් වෙනවාද?,ඔව්. යුවලක්. අපි එළදෙනුන්ට වඩා වැඩියි.
136,ඔව්. යුවලක්. අපි එළදෙනුන්ට වඩා වැඩියි.,ඔබේ පැරණි පාසලේ කී දෙනෙක් සිටියාද?
137,ඔබේ පැරණි පාසලේ කී දෙනෙක් සිටියාද?,තිස් දෙක.
138,තිස් දෙක.,පලයන් එළියට!
139,පලයන් එළියට!,කී දෙනෙක් මෙතනට යනවද?
140,කී දෙනෙක් මෙතනට යනවද?,යුගල දහසක්. ඔවුන්ගෙන් වැඩි දෙනෙක් නපුරුයි
141,මට පුරුදු බව.,"ඔව්, නමුත් මේ අය කවදාවත් අශ්වයෙක් දැකලා නැහැ. ඔවුන් ක්ලින්ට් ඊස්ට්වුඩ් වෙත ගමන් කරයි."
142,ඒ කෙල්ල -- මම --,"ඔබ පිච්චෙනවා, පයින්, ඔබ විනාශ වෙනවාද?"
143,"ඔබ පිච්චෙනවා, පයින්, ඔබ විනාශ වෙනවාද?",ඇය කව් ද?
144,ඇය කව් ද?,බියන්කා ස්ට්රැට්ෆර්ඩ්. දෙවන වසරේ. ඒ ගැන හිතන්නවත් එපා
145,බියන්කා ස්ට්රැට්ෆර්ඩ්. දෙවන වසරේ. ඒ ගැන හිතන්නවත් එපා,ඇයි නැත්තේ?
146,ඇයි නැත්තේ?,"මට ඔබේ කොණ්ඩය කැපීමෙන් පටන් ගත හැකිය, නමුත් එය කමක් නැත. ඇගේ වැඩිමහල් සහෝදරිය කරන තුරු ඇයට පෙම් සබඳතාවක් පැවැත්වීමට අවසර නැත. ඒ වගේම එය කළ නොහැකි දෙයක්."
147,ඇයි ඒ වගේ කෙල්ලෝ හැමදාම ඒ වගේ කොල්ලන්ට කැමති?,ඔවුන් බෝ වී ඇති නිසා. ඔවුන්ගේ මව්වරුන් එවැනි පිරිමි ළමයින්ට කැමති වූ අතර ඔවුන්ට පෙර ඔවුන්ගේ ආච්චි. ඔවුන්ගේ ජාන සංචිතය කලාතුරකින් තනුක වේ.
