,Question,Answer
78,Really!,"Oh, yeah. I'd marry him just for his David Hasselhoff impression alone. You know I'm gonna be doing that at parties, right?"
79,"I mean, it-it was like, it was like he made us into a team.","Yep, we sure showed those Hassidic jewellers a thing or two about softball.."
80,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",I personally could have a gallon of Alan.
81,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!","Well, maybe it's a contest, y'know? Like, collect all five?"
82,It's worse than the thumb!,"Hey, this is so unfair!"
83,"Oh, why is it unfair?","So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?"
84,Don't you realise what you're-you're doing to yourself?,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it."
85,"Chandler? It's Alan, he wants to speak to you.","Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!"
86,,"Ooh, Lambchop. How old is that sock? If I had a sock on my hand for thirty years it'd be talking too."
87,Hey. Where's Joey?,"Joey ate my last stick of gum, so I killed him. Do you think that was wrong?"
88,There y'go.,"Ooh, I'm alive with pleasure now."
89,I'm sorry..,"Oh, she's sorry! I feel better!"
90,"You had a rough day, huh.. c'mere.",...That's it. I'm getting cigarettes.
91,No no no!,"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!"
92,If you never smoke again I'll give you seven thousand dollars!,"Yeah, alright."
93,"Yeah, see.. you took mine. Chandler, what about you?","Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever."
94,"...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.",You got waaaay too much free time.
95,"Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.","Happy birthday, pal!"
96,"So, I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?","""Well, aren't we Mr. """"The glass is half empty."""""""
97,What's wrong with the twentieth?,Eleven days before Halloween.. all the good costumes are gone?
98,"The hell with hockey, let's all do that!","C'mon, Ross! You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, Huh? Huh? Huh?"
99,What are you doing?,I have no idea.
100,"Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?",You got it.
101,"God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totally not worth it. Who's FICA? Why's he getting all my money? I mean, what- Chandler, look at that.","Oh, this is not that bad."
102,"Look, look, I have elbows!",...Poulet passes it up to Leetch!
103,Leetch spots Messier in the crease- there's the pass!,We'll take a brief time out while Messier stops to look at some women's shoes.
104,Peach pit.,"Yes, Bunny?"
105,"Actually, nectarines, but basically...",Could've been a peach.
106,"Sorry, sorry... Uh-oh.",What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?
107,"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!","See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks."
108,Pass it! Pass it!,He's open!
109,,"Hey, look, we're on that TV thing!"
110,,'Scuse me.
111,"It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.","Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room."
112,"Oh, wait, she's walking across the floor.. she's walking.. she's walking.. she's going for the pizza- Hey, that's not for you, bitch!","Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. I mean, that guy with the toe thing? Who's he sleeping with? Oh, c'mon Dora, don't be mad... I know we both said some things we didn't mean, but that doesn't mean we still don't love each other. Y'know, I feel like I've lost her.. Ba-!"
113,I remember the moonlight coming through the window- and her face had the most incredible glow.,"Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?"
114,"Look, it's just a little more complicated...","Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?"
115,"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",Then what?
116,With Carol? Oh.,"So in your whole life, you've only been with one oh."
117,Man. Can you believe he's only had sex with one woman?,"I think it's great. Y'know, it's sweet, it's romantic..."
118,Really?,"No, you kidding? The guy's a freak.."
119,"Oh, that's attractive.","Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight."
120,"I found it. Finders keepers, losers weepers.","You gotta do it, man."
121,,Thanks.
122,,"Hello? Oh, uh, Rachel, it's the Visa card people."
123,"Oh, okay. Will you take my place?","Alright. Yes, this is Rachel."
124,I've got magic beans. Never-never mind.,"To the left, to the left- aww!"
125,Come on! You guys can pee standing up.,"We can? All right, I'm tryin' that."
126,Multiple orgasms!,"So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night!"
127,"No plans, huh?",Not a one.
128,"Not even, say, breaking up with Janice?","Oh, right, right, shut up."
129,"Chandler, nobody likes breaking up with someone. You just gotta do it.","No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening, and then you finally get up the courage to do it, and there's the horrible awkward moment when you've handed her the note."
130,"You know, if you want, I'll do it with you.","Oh, thanks, but I think she'd feel like we're gangin' up on her."
131,"Yeah, well, it's a Mercedes if I move back home. Oh, it was horrible. He called me young lady.","Ooh, I hate when my father calls me that."
132,"Ok, bye. Well, Monica's not coming, it's just gonna be me and Rachel.","Oh. Well, hold on camper, are you sure you've thought this thing through?"
133,It's laundry. The thinking through is minimal.,"It's just you and Rachel, just the two of you? This is a date. You're going on a date."
134,Nuh-uh.,Yuh-huh.
135,"So what're you saying here? I should shave again, pick up some wine, what?","Well, you may wanna rethink the dirty underwear. This is basically the first time she's gonna see your underwearyou want it to be dirty?"
136,No.,"Oh, and uh, the fabric softener?"
137,"Ok, ok, now what is wrong with my Snuggles? What, it says I'm a sensitive, warm kinda guy, you know, like a warm, fuzzy bear. Ok, I can pick something else up on the way.",There you go.
138,...horribly attractive. I'll be shutting up now.,Where are they? Where are they?
139,This is nice. We never do anything just the two of us.,It's great. Maybe tomorrow we can rent a car and run over some puppies.
140,,Here we go.
141,"Ok, have a good break-up.","Hey, Janice."
142,"Oh, my god, I am so glad you called me. I had the most supremely awful day.","Hey, that's not good. Can I get an espresso and a latte over here, please?"
143,,What?
144,What?,What... did you get me there?
145,I got you...these.,Bullwinkle socks. That's so sweet.
146,"Well, I knew you had the Rockys, and so I figured, you know, you can wear Bullwinkle and Bullwinkle, or you can wear Rocky and Rocky,or, you can mix and match, moose and squirrel. Whatever you want.",That's great.
147,,"Well, I'm gonna get another espresso. Can I get you another latte?"
148,,That's it?
149,"Yeah, it was really hard.","Oh, yeah, that hug looked pretty brutal."
150,,"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice."
151,"Uh, waiter, one more plate of chicken wings over here.","Here's the thing, Janice. You know, I mean, it's like we're different. I'm like the bing, bing, bing. You're like the boom, boom, ... boom."
152,Ow!,"Oh, my god, I'm so sorry. Are you ok?"
153,,I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.
154,Oh my god. How many of those have you had?,"Oh, I don't know, a million?"
155,"Chandler, easy, easy. Go to your happy place. La la la la la la la.",I'm fine.
156,,I'm not fine. Here she comes.
157,,How do you do that?
158,It's like a gift.,We should always always break up together.
159,,I'm free! I'm free!
160,"Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting!","You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom..."
161,"Did anybody else feel they just wanted to peel the skin off their body, to have something else to do?","Ross, ten o'clock."
162,Is it? Feels like two.,"No, ten o'clock."
163,What?,"There's a beautiful woman at eight, nine, ten o'clock!"
164,Oh. Hel-lo!,"She's amazing! She makes the women that I dream about look like short, fat, bald men!"
165,"Well, go over to her! She's not with anyone.","Oh yeah, and what would my opening line be? 'Excuse me. Blarrglarrghh.'"
166,"Oh, c'mon. She's a person, you can do it!","Oh please, could she be more out of my league? Ross, back me up here."
167,He could never get a woman like that in a million years.,"Thank you, buddy."
168,You could do that!,Y'think?
169,Yeah!,"Oh God, I can't believe I'm even considering this... I'm very very aware of my tongue..."
170,C'mon! C'mon!,Here goes.
171,...Yes?,"Hi.... um... okay, next word... would be... Chandler! Chandler is my name, and, uh... ...hi."
172,"Yes, you said that.","Yes, yes I did, but what I didn't say was what I was about to say, what I wanted to say was, uh... would you like to go out with me sometime, thankyou, goodnight."
173,Saw your head. Saw your head.,"She said yes!! She said yes!! Awful play, man. Whoah. Her name's Aurora, and she's Italian, and she pronounces my name 'Chand-lrr'. 'Chand-lrr'. I think I like it better that way. Oh, listen, the usher gave me this to give to you."
174,Based on this play? ...Based on this play!,"Hey, kids."
175,"No, 'cause this line is passion, and this is... just a line.","Well, I can't believe I've been here almost seven seconds and you haven't asked me how my date went."
176,"Oh, right, right. How was your date, 'Chand-lrr'?",It was unbelievable. I-I've never met anyone like her. She's had the most amazing life! She was in the Israeli army...
177,"...Luckily none of the bullets hit the engine block. So, we made it to the border, but just barely, and I- ...I've been talking about myself all night long, I'm sorry. What about you? Tell me one of your stories.","Alright. Once I got on the subway, right, and it was at night, and I rode it all the way to Brooklyn... just for the hell of it."
178,"Alright. Once I got on the subway, right, and it was at night, and I rode it all the way to Brooklyn... just for the hell of it.",We talked 'til like two. It was this perfect evening... more or less.
179,...All of a sudden we realised we were in Yammon.,"Oh, I'm sorry, so 'we' is?"
180,Who's Rick?,Who's Rick?
181,Ooooohhh.,"Oh, so you're divorced?"
182,No.,"Oh, I'm sorry, then you're widowed?...Hopefully?"
183,"No, I'm still married.","So tell me, how do- how do you think your husband would feel about you sitting here with me?...Sliding your foot so far up my pant leg you can count the change in my pocket?"
184,"Don't worry. I imagine he'd be okay with you because really, he's okay with Ethan.","Ethan? There's, there's an Ethan?"
185,What?!,"So explain something to me here, uh, what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?"
186,I suppose mainly sexual.,...Hm.
187,Oh. I'm sorry it didn't work out.,What 'not work out'? I'm seeing her again on Thursday. Didn't you listen to the story?
188,"Didn't you listen to the story? I mean, this is twisted! How could you get involved with a woman like this?","Well, y'know, I had some trouble with it at first too, but the way I look at it is, I get all the good stuff: all the fun, all the talking, all the sex; and none of the responsibility. I mean, this is every guy's fantasy!"
189,Tah-daaah!,Are we greeting each other this way now? 'Cause I like that.
190,I can't believe you tried to move the green ottoman.,"Thank God you didn't try to fan out the magazines. I mean, she'll scratch your eyes right out."
191,Why would someone do that?! ...One might wonder.,"Someone's left a glass on the coffee table. There's no coaster. It's a cold drink, it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood..."
192,"C'mon, you guys. This is a real movie, and Al Pacino's in it, and that's big!","Oh no, it's terrific, it's... it's... y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness."
193,,Where's Joey? His mom's on the phone.
194,He's in the bathroom. I don't think you wanna go in there!,"C'mon, we're roommates! My eyes!! My eyes!!"
195,Who is being loud?,"Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast."
196,"Oh, you got the whole night, huh?","Yeah, well, I only have twenty minutes until Ethan, so, y'know.."
197,"Ooh, do I sense a little bit of resentment?","No, no resentment, believe me, it's worth it. 'Kay? Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life? Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door?"
198,I was going for quiet desperation. But if you have to ask...,"God, I love these fingers..."
199,Thank you.,"No, actually I meant my fingers. Look at 'em, look at how happy they are."
200,"Oh my God, I'm late.","Oh no nonononononnononono, don't go.."
201,Okay.,Don't go.
202,"Okay. Oh no, I have to.","Too bad, she's leaving."
203,I'm sorry. He'll be waiting for me.,"Well, I thought- I thought you talked to Rick."
204,It's not Rick.,"What, Ethan? He got to spend the whole day with you!"
205,"No, it's-it's Andrew.","I know there'll be many moments in the years to come when I'll regret asking the following question, but- And Andrew is?"
206,He's... new.,"Oh, so what you're saying is you're not completely fulfilled by Rick, Ethan and myself?"
207,"No, that's not exactly what I was..","Well, y'know, most women would kill for three guys like us."
208,So what do you want?,You.
209,You have me!,"Nono, just you."
210,Whaddyou mean?,Lose the other guys.
211,"...Like, ...all of them?","C'mon, we're great together, why not?"
212,"Why can't we just have what we have now? Why can't we just talk, and laugh, and make love, without feeling obligated to one another... and up until tonight I thought that's what you wanted too.","...Well, y'know, part of me wants that, but it's like I'm two guys, y'know? I mean, one guy's going 'Shut up! This is great!' But there's this other guy. Actually it's the same guy that wells up every time that Grinch's heart grows three sizes and breaks that measuring device... And he's saying, y'know, 'This is too hard! Get out! Get out!'"
213,So... which one of the two guys will you listen to?,"I don't know, I-I have to listen to both of them, they don't exactly let each other finish..."
214,Which one?,...The second guy.
215,,"Sorry, the first guy runs the lips."
216,"No? What happened, big guy?","""""""Big guy?"""""""
217,My mom will.,Something so sweet and...disturbing about that.
218,"Hi. Um, I want to start with a song thats about that moment when you suddenly realize what life is all about. OK, here we go. OK, thank you very much.","Oh, great. This is just..."
219,"Well, I never call me.","Oh my God, it's that Victoria's Secret model. Something... something Goodacre."
220,"Hi Mom, it's Jill.","She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!"
221,"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.",Jill says vestibule... I'm going with vestibule.
222,"I'm fine. No, I'm not alone... I don't know, some guy.","Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy."
223,That had to hurt!,"Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!"
224,,There you go!
225,,You're definitely scaring here.
226,Would you like to call somebody?,"Yeah, about 300 guys I went to high school with. Yeah, thanks."
227,Hello?,"Hey, it's me."
228,It's Chandler! Are you OK?,"Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr."
229,What?,I'm trppd... in an ATM vstbl... wth Jll Gdcr!
230,I have no idea what you just said.,Put Joey on the phone.
231,What's up man?,I'm trppd... in an ATM vstbl... wth JLL GDCR.
232,"Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen.","Yeah, like that thought never entered my mind."
233,Would you like some gum?,"Um, is it sugarless?"
234,"Sorry, it's not.","Oh, then no thanks. What the hell was that? Mental note: If Jill Goodacre offers you gum, you take it. If she offers you mangled animal carcass, you take it."
235,Yeah?,"You know, on second thought, gum would be perfection. 'Gum would be perfection'? 'Gum would be perfection.' Could have said 'gum would be nice,' or 'I'll have a stick,' but no, no, no, no. For me, gum is perfection. I loathe myself."
236,You betcha!,"Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go."
237,,"Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth."
238,"Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth.","Good save! We're back on track, and I'm... ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking."
239,"My God, you're choking! That better?",Yes... thank you. That was... that was....
240,"Chandler, we've been here for an hour doing this! Now watch, it's easy.",OK.
241,"Well, this has been fun.","Yes. Yes, thanks for letting me use your phone... and for saving my life."
242,,"Hi, um, I'm account number 7143457. And, uh, I don't know if you got any of that, but I would really like a copy of the tape."
243,"Hi, um, I'm account number 7143457. And, uh, I don't know if you got any of that, but I would really like a copy of the tape.",Dehydrated Japanese noodles under fluorescent lights... does it get better than this?
244,"Question. You're not dating anybody, are you, because I met somebody who would be perfect for you.","Ah, y'see, perfect might be a problem. Had you said 'co-dependent', or 'self-destructive'..."
245,Do you want a date Saturday?,Yes please.
246,"Okay. He's cute, he's funny, he's-",He's a he?
247,"Well yeah! ...Oh God. I- just- I thought- Good, Shelley. I'm just gonna go flush myself down the toilet now... Okay, goodbye...","...Couldn't enjoy a cup of noodles after that. I mean, is that ridiculous? Can you believe she actually thought that?"
248,"Um... yeah. Well, I mean, when I first met you, y'know, I thought maybe, possibly, you might be...",You did?
249,"Yeah, but then you spent Phoebe's entire birthday party talking to my breasts, so then I figured maybe not.","Huh. Did, uh... any of the rest of you guys think that when you first met me?"
250,"Nono, me neither. Although, uh, y'know, back in college, Susan Sallidor did.",You're kidding! Did you tell her I wasn't?
251,,"Well, this is fascinating. So, uh, what is it about me?"
252,"I dunno, 'cause you're smart, you're funny...","Ross is smart and funny, d'you ever think that about him?"
253,Yeah! Right!,WHAT IS IT?!
254,Yes. Absolutely. A quality.,"Oh, oh, a quality, good, because I was worried you guys were gonna be vague about this."
255,Now she's passed.,"I just have to know, okay. Is it my hair?"
256,I'd like that.,"Hey, gorgeous."
257,"Hey. Look, I'm sorry about yesterday, I, um-","No, nono, don't- don't worry about it. Believe me, apparently other people have made the same mistake."
258,Oh! Okay! Phew!,"So, uh... what do you think it is about me?"
259,"I dunno, uh... you just have a-a...","...Quality, right, great."
260,"Y'know, it's a shame, because you and Lowell would've made a great couple.","Lowell? Financial Services' Lowell, that's who you saw me with?"
261,What? He's cute!,"Well, yeah... 's'no Brian in Payroll."
262,Is Brian...?,"No! Uh, I d'know! The point is, if you were gonna set me up with someone, I'd like to think you'd set me up with someone like him."
263,"Well, I think Brian's a little out of your league.",Excuse me? You don't think I could get a Brian? Because I could get a Brian. Believe you me. ...I'm really not.
264,Morning. We ready to go?,"Well, don't we look nice all dressed up?...It's stuff like that, isn't it?"
265,What?,"Nothing, just your overcoat sounds remarkably like Brent Mussberger."
266,"Check it out, Giants-Cowboys.",You're watching a football game at a funeral?
267,"No, it's the pre-game. I'm gonna watch it at the reception.","You are a frightening, frightening man."
268,,"Oh, no-"
269,"Sorry- Hi, I'm Dorothy's daughter.","Hi, I'm Chandler, and I have no idea who Dorothy is."
270,...Chandler!,Hey.
271,"Yes, yes, fine, that is my penis. Can we be grown-ups now?",Who are those people?
272,"Nono, that would be me again. I'm, uh, just trying something.","Hey, Lowell."
273,"Hey, Chandler.",So how's it going there in Financial Services?
274,It's like Mardi Gras without the paper mache heads. How 'bout you?,"Good, good. Listen, heh, I dunno what Shelley told you about me, but, uh... I'm not."
275,I know. That's what I told her.,Really.
276,Yeah.,So- you can tell?
277,"Pretty much, most of the time. We have a kind of... radar.","So you don't think I have a, a quality?"
278,"Speaking for my people, I'd have to say no. By the way, your friend Brian from Payroll, he is.",He is?
279,"Yup, and waaay out of your league.","Out of my league. I could get a Brian. If I wanted to get a Brian, I could get a Brian. Hey, Brian."
280,"Hey, hey.",Hey.
281,Hey.,And this from the cry-for-help department. Are you wearing makeup?
282,"Yes, I am. As of today, I am officially Joey Tribbiani, actor slash model.","That's so funny, 'cause I was thinking you look more like Joey Tribbiani, man slash woman."
283,"You know, the asthma guy was really cute.",Do you know which one you're gonna be?
284,"No, but I hear lyme disease is open, so...","Good luck, man. I hope you get it."
285,"And I assume, Chandler, you are still boycotting all the pilgrim holidays.","Yes, every single one of them."
286,"Absolutely. Shoop, shoop, shoop. Only a hundred and two dollars to go.",I thought it was $98.50.
287,"Oh, I believe it. I think the baby can totally hear everything. I can show you. Look, this will seem a little weird, but you put your head inside this turkey, and then we'll all talk, and you'll hear everything we say.","I'd just like to say that I'm totally behind this experiment. In fact, I'd very much like to butter your head."
288,"Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner? What, what, what is it with you and this holiday?","All right, I'm nine years old."
289,"Oh, I hate this story.","We just finished this magnificent Thanksgiving dinner. I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced."
290,Oh my god.,Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.
291,Set another place for Thanksgiving. My entire family thinks I have VD.,"Tonight, on a very special Blossom."
292,"I got the tickets! I got the tickets! Five hours from now, shoop, shoop, shoop.","Oh, you must stop shooping."
293,"Chandler, will you just come in already?","No, I prefer to keep a safe distance from all this merriment."
294,"Look out, incoming pumpkin pie!","Ok, we all laughed when you did it with the stuffing, but that's not funny anymore."
295,,The most unbelievable thing has happened. Underdog has just gotten away.
296,The balloon?,"No, no, the actual cartoon character. Of course the balloon. It's all over the news. Right before he reached Macy's, he broke free and was spotted flying over Washington Square Park. I'm goin' to the roof, who's with me?"
297,"I can't, I gotta go.",Come on. An 80-foot inflatable dog let loose over the city. How often does that happen?
298,"""No, no, no, you said, """"got the keys"""".""",Do either of you have the keys?
299,Why do you guys have so many keys in there anyway?,For an emergency just like this.
